nr,tf,bar_start_dk,bar_start_et,close,atr,vwap,vwap_dist_atr,z,adx,cmf,rvol,rsi,stoch_k,wt1,wt2,wt_diff,macd_line,macd_hist,dot_type
9,3m,2026-04-10 19:57:00+02:00,2026-04-10 13:57:00-04:00,6856.75,3.5351747031153846,6865.202172294819,-2.390878246376569,1.3870245097470968,21.360539235634295,0.15864838358290742,0.5015848186720454,56.05668134212297,100.0,50.13937168664373,45.14399539418085,4.995376292462879,-0.06774797916659736,1.1059773909531352,ingen
10,3m,2026-06-30 21:57:00+02:00,2026-06-30 15:57:00-04:00,7544.75,4.8790997770657745,7527.834290681909,3.466973435879187,-3.310067532408465,24.686166939236337,-0.3143334617156516,10.244893644510741,32.97113839739218,31.519406834464395,-32.885290662539944,-27.22607988589134,-5.659210776648603,-1.1163327456206389,-1.2478266513621659,udvandet_roed
1,2m,2024-06-28 16:12:00+02:00,2024-06-28 10:12:00-04:00,5583.0,3.3517721262014786,5562.95385097359,5.980761302269001,2.0917036376104994,38.34092145456555,0.3627436038106404,1.060100782498259,82.02376967736481,100.0,83.53591149899208,85.66592383696126,-2.130012337969177,6.334598766783529,2.2209341695246083,ingen
2,2m,2024-09-17 20:42:00+02:00,2024-09-17 14:42:00-04:00,5637.5,3.573787423233213,5650.327263811506,-3.589263236004401,0.4261650526006488,19.755930421783702,0.12063646345792424,0.8657193939964242,53.85037519759795,56.77034093155445,4.435030238676097,-6.622454711238189,11.057484949914286,0.22988182561493886,-0.12010885099378754,ingen
3,2m,2024-12-06 15:12:00+01:00,2024-12-06 09:12:00-05:00,6098.5,2.3408586501680424,6088.2323704306555,4.38626636794471,1.0084862903157585,32.499267886155934,0.025420640344512475,0.4415367322823299,64.44468321869024,79.93389930327804,53.2076628948753,48.906551222031304,4.301111672843994,2.436705494817943,-0.060690910395084785,ingen
4,2m,2025-02-28 19:12:00+01:00,2025-02-28 13:12:00-05:00,5861.75,6.289321926465291,5886.768237201782,-3.9778910181883975,-1.2697228840374295,42.13804226621482,-0.18836833833352315,0.5004657401542532,34.060084749033265,59.32284347331194,-55.31008763861712,-56.95291181717528,1.6428241785581577,-7.892738851855029,-0.2642898019494533,ingen
5,2m,2025-05-20 21:58:00+02:00,2025-05-20 15:58:00-04:00,5959.5,4.402252161282372,5958.021089598252,0.3359440458125359,1.806527945969321,20.25763951372181,0.261612756355269,2.6243302319283517,69.89791521805599,95.05014887898955,70.85495466180133,64.4467203249657,6.408234336835633,3.362949920552637,0.9440525336911616,ingen
6,2m,2025-08-11 15:28:00+02:00,2025-08-11 09:28:00-04:00,6416.25,1.8726421782205496,6420.3478056031345,-2.1882480544298932,-1.250343456057575,41.1452676970695,-0.1295387281669555,3.964552916394276,41.80077282723513,47.314864098221584,-32.053621694738155,-19.946901011862316,-12.106720682875839,-0.8255579575525189,0.10089555862940403,ingen
7,2m,2025-10-28 21:12:00+01:00,2025-10-28 16:12:00-04:00,6923.5,2.7673549195915905,6919.553757389536,1.4259980107814045,-1.363121155798257,43.80565278137878,-0.10204970915193104,0.19846767795185144,31.23251595886458,15.962966585783924,-56.77177140476734,-58.760907820903164,1.9891364161358212,-3.354138236700237,-0.5111594486741864,ingen
8,2m,2026-01-20 21:28:00+01:00,2026-01-20 15:28:00-05:00,6830.25,4.491324050627707,6873.638065515102,-9.660417512968923,-0.6600718587118288,18.378913803720646,-0.1613096829918471,1.3674276240275476,45.716283885713175,74.56908795664323,-34.079329618846224,-45.9112423743159,11.831912755469673,-2.1177172933157635,0.2738412833565387,ingen
9,2m,2026-04-10 19:58:00+02:00,2026-04-10 13:58:00-04:00,6856.75,2.685269832028329,6865.247276387289,-3.164403176894452,1.826317067895789,18.881467606107545,0.14656348511377365,0.6034983005885767,59.55864629132576,90.31562057755013,61.57918893519186,62.19134401501203,-0.6121550798201696,1.0133314207687363,0.7625239252974509,kraftig_roed
10,2m,2026-06-30 21:58:00+02:00,2026-06-30 15:58:00-04:00,7544.75,4.351350271200202,7527.863648508572,3.8807152812293926,-3.4051065926979063,21.403259901633227,-0.3976651292194653,10.67133402304389,30.154928826032716,66.66666666666642,-17.66982956043087,-10.068327357263923,-7.601502203166946,-1.3070468489249834,-0.587874142691952,udvandet_roed
